"universe_no","isba_tv_region_no","hhcomposition_no","tenure_no","package_no","boxtype_no","adsmartable_no"
"universe_no",1,-0.027160299511446,-0.0715573631506319,0.119934284559158,0.247371042315512,0.86015965763901,0.0977306819512685
"isba_tv_region_no",-0.027160299511446,1,-0.00131006404709512,-0.00222389393894218,-0.00858912335615348,-0.0268873343353157,-0.00121881271939692
"hhcomposition_no",-0.0715573631506319,-0.00131006404709512,1,-0.255711730131779,-0.0835912076835472,-0.0716788718741592,-0.00593464806218252
"tenure_no",0.119934284559158,-0.00222389393894218,-0.255711730131779,1,0.2211503743316,0.17782406422006,-0.0468834075471858
"package_no",0.247371042315512,-0.00858912335615348,-0.0835912076835473,0.2211503743316,1,0.191699455882588,0.0424729949625351
"boxtype_no",0.86015965763901,-0.0268873343353157,-0.0716788718741592,0.17782406422006,0.191699455882589,1,-0.11752191293236
"adsmartable_no",0.0977306819512685,-0.00121881271939692,-0.00593464806218252,-0.0468834075471857,0.0424729949625351,-0.11752191293236,1
