User_Notes,SERVICE_KEY,FULL_NAME,EPG_NUMBER,EPG_NAME,VESPA_NAME,CHANNEL_NAME,TECHEDGE_NAME,INFOSYS_NAME,BARB_REPORTED,ACTIVEX,CHANNEL_OWNER,OLD_PACKAGING,NEW_PACKAGING,PAY_FREE_INDICATOR,CHANNEL_GENRE,CHANNEL_TYPE,FORMAT,PARENT_SERVICE_KEY,TIMESHIFT_STATUS,TIMESHIFT_MINUTES,RETAIL,CHANNEL_REACH,HD_SWAP_EPG_NUMBER,SENSITIVE_CHANNEL,SPOT_SOURCE,PROMO_SOURCE,NOTES,EFFECTIVE_FROM,EFFECTIVE_TO,TYPE_ID,UI_DESCR,EPG_CHANNEL,AMEND_DATE,CHANNEL_PACK,SERVICE_ATTRIBUTE_VERSION,PRIMARY_SALES_HOUSE,CHANNEL_GROUP,PROVIDER_ID,PAY_SKY_SPORTS_FLAG,PAY_SPORTS_FLAG,PAY_TV_FLAG,KEY_PAY_ENTERTAINMENT_FLAG,SKY_SPORTS_NEWS_FLAG,SKY_MOVIES_FLAG,BT_SPORT_FLAG,Dummy
Sensitive,4460,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,4549,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,5033,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,5217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,5417,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,5541,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,5610,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,6145,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6145,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,6365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,6501,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6501,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,6502,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6502,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,6503,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6503,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,6504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,6505,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6505,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,6754,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,6765,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,9008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
